machine_id,type_of_failure,timestamp,time_repair,cost,criticality,humid,temp,label
81,7,1583193600,"0,3637419383","0,522","0,499",61,97,0
66,5,1593388800,"0,297","0,485","0,307",63,112,0
32,9,1600128000,"0,3831058529","-0,075","0,798",6,40,1
43,4,1597708800,"0,3007323075","0,553","0,531",48,141,0
62,2,1585699200,"0,127","0,335","0,367",74,148,0
70,2,1594339200,"0,2889115213","0,645","0,466",38,63,0
40,10,1605830400,"0,202","0,268","0,356",81,87,0
98,2,1588204800,"0,3140865516","0,365","0,473",37,94,0
7,10,1579219200,"0,3653252023","0,39","0,447",17,112,0
69,5,1607472000,"0,176","0,359","0,371",81,37,0
37,9,1599523200,"0,266381026","0,327","0,591",71,48,0
44,5,1583798400,"0,6640382772","0,854","0,805",56,118,1
92,5,1607558400,"0,3581821882","0,573","0,485",79,91,0
61,5,1578614400,"0,8731757036","0,784","0,77",40,80,1
8,10,1585526400,"0,199","0,345","0,296",48,119,0
16,10,1593734400,"0,3189529837","0,394","0,441",75,90,0
85,2,1606521600,"0,258","0,279","0,42",12,119,0
92,3,1578441600,"0,2698408652","0,137","0,675",64,74,0
77,2,1602374400,"0,3006904907","0,529","0,5",15,41,0
33,4,1592870400,"0,2746701992","0,566","0,548",68,140,0
28,10,1601251200,"0,2116905774","0,489","0,488",19,59,0
11,1,1602460800,"0,18","0,245","0,264",46,28,0
29,8,1585094400,"0,3556919278","0,096","0,791",48,134,1
4,4,1598313600,"0,183","0,187","0,277",5,27,0
94,4,1589328000,"0,132","0,382","0,268",85,109,0
47,2,1595203200,"0,1192090635","-0,252","0,734",41,53,1
62,3,1582675200,"0,094","0,355","0,307",51,135,0
33,3,1597708800,"0,6157007398","0,905","0,717",13,135,1
24,4,1592006400,"0,08","0,295","0,406",49,150,0
23,3,1589587200,"0,151","0,355","0,321",58,41,0
61,7,1596067200,"0,182","0,316","0,368",22,51,0
99,8,1596758400,"0,2982200997","0,582","0,481",17,50,0
75,1,1595635200,"0,04685476921","-0,151","0,789",74,58,1
53,4,1600732800,"0,2517383579","0,361","0,486",13,59,0
75,10,1591488000,"0,243","0,317","0,366",11,27,0
54,1,1585526400,"0,2999685516","0,671","0,517",11,96,0
14,6,1599609600,"0,6607573781","0,877","0,74",34,90,1
40,2,1584144000,"1,069786795","0,582","0,741",19,29,1
30,3,1587945600,"0,4246433826","0,456","0,542",80,41,0
97,3,1596499200,"0,2891453612","0,539","0,479",83,125,0
45,6,1588636800,"0,3236877175","0,415","0,522",16,50,0
80,1,1603411200,"0,095","0,375","0,232",34,38,0
45,5,1593129600,"0,3726979234","0,504","0,505",73,142,0
7,1,1602288000,"1,39029527","0,8","0,799",10,87,1
13,5,1585180800,"0,2069745757","0,447","0,537",40,134,0
52,1,1606694400,"0,227","0,199","0,401",60,115,0
67,3,1595548800,"0,183","0,161","0,339",15,113,0
8,3,1580256000,"0,3423830536","0,165","0,748",84,129,1
26,9,1603238400,"0,381","0,456","0,364",67,63,0
73,7,1579737600,"0,2928977271","0,586","0,498",16,102,0
27,1,1606003200,"0,152","0,388","0,314",84,143,0
9,2,1587772800,"0,298","0,247","0,35",12,55,0
84,6,1587081600,"0,3256340363","0,582","0,561",52,102,0
23,8,1608076800,"-0,1920329201","0,982","0,717",55,64,1
67,9,1605657600,"0,123","0,403","0,327",25,74,0
46,4,1578960000,"0,5917313161","0,318","0,703",38,83,1
87,8,1605657600,"0,115","0,292","0,342",46,85,0
11,3,1594771200,"0,2912950083","0,498","0,389",29,101,0
79,6,1591488000,"0,2625162082","0,466","0,515",5,108,0
61,2,1604275200,"0,3194008955","0,396","0,524",8,105,0
61,7,1604793600,"0,174","0,289","0,213",26,63,0
22,6,1589414400,"0,3346972353","0,396","0,544",82,26,0
28,8,1579824000,"1,274104298","0,483","0,757",74,68,1
60,6,1587686400,"0,177","0,238","0,255",72,135,0
52,5,1595030400,"1,10859018","0,657","0,798",37,66,1
40,3,1604275200,"0,281469941","0,6","0,455",23,149,0
40,10,1593216000,"0,3208850051","0,482","0,519",56,100,0
32,9,1590278400,"0,2118207914","0,571","0,499",67,150,0
34,9,1598486400,"0,141","0,245","0,32",81,133,0
74,2,1581033600,"0,2529075648","0,441","0,411",45,57,0
46,7,1598572800,"0,226","0,321","0,265",38,135,0
36,5,1591056000,"1,163389438","0,19","0,794",15,31,1
51,3,1592265600,"0,102","0,382","0,223",85,78,0
33,8,1607040000,"0,2793881957","0,449","0,548",9,107,0
69,7,1600905600,"0,293","0,149","0,334",63,73,0
35,1,1586131200,"0,4284174561","0,232","0,792",71,50,1
69,3,1591833600,"0,088","0,392","0,298",42,54,0
40,5,1594080000,"0,342","0,499","0,318",32,35,0
63,5,1577923200,"0,19","0,269","0,267",71,80,0
94,4,1578009600,"0,2757800777","0,452","0,534",70,49,0
96,6,1592006400,"0,3688845397","0,505","0,446",76,120,0
2,3,1585180800,"0,4031045389","0,715","0,471",70,147,0
97,2,1584921600,"0,3660635105","0,399","0,441",82,87,0
90,6,1601510400,"0,2852169255","0,388","0,525",69,108,0
99,5,1591142400,"0,301902269","0,404","0,45",30,128,0
80,3,1583366400,"0,9623615906","0,8","0,672",30,38,0
58,4,1600041600,"0,3328445473","0,557","0,408",48,52,0
71,3,1591747200,"0,285","0,38","0,275",42,135,0
66,10,1590969600,"0,2454525573","1,371","0,73",42,116,1
93,7,1605139200,"0,16","0,33","0,358",76,93,0
8,3,1600646400,"0,193","0,088","0,334",11,42,0
80,7,1608422400,"0,267661525","0,895","0,68",58,30,0
94,4,1578960000,"0,155","0,486","0,291",63,65,0
70,4,1593129600,"0,125","0,334","0,237",38,83,0
50,1,1591056000,"0,371","0,389","0,316",65,147,0
16,3,1602115200,"0,2499645709","0,386","0,518",20,43,0
22,7,1595980800,"0,128","0,283","0,303",81,139,0
91,6,1597881600,"0,3033818556","0,658","0,455",43,97,0
50,10,1607385600,"0,3157313442","0,622","0,473",41,114,0
66,6,1605657600,"0,6553597021","0,426","0,733",26,112,1
2,10,1581811200,"0,276","0,288","0,329",85,32,0
49,6,1590105600,"0,338","0,272","0,286",47,102,0
64,9,1604966400,"0,292","0,312","0,308",16,135,0
66,8,1594944000,"0,242","0,434","0,34",10,89,0
70,2,1596412800,"1,223221607","0,745","0,811",32,56,1
55,7,1589500800,"0,285","0,471","0,357",85,36,0
97,9,1586995200,"0,4098924771","0,079","0,763",17,38,1
8,8,1589155200,"0,222","0,283","0,414",14,147,0
65,9,1601596800,"0,4157703875","0,615","0,455",40,31,0
88,9,1582416000,"0,2948238895","0,601","0,533",83,149,0
23,6,1599264000,"0,4371553536","0,644","0,49",14,88,0
34,6,1600992000,"0,2691497902","0,525","0,483",12,35,0
20,4,1607299200,"0,159","0,212","0,34",49,98,0
41,4,1594080000,"0,184","0,202","0,266",46,128,0
90,3,1602028800,"0,04","0,292","0,246",30,104,0
4,1,1597104000,"0,6705024148","-0,096","0,766",17,137,1
32,6,1590796800,"0,3449643925","0,578","0,536",68,49,0
74,6,1607731200,"0,3343981783","0,417","0,467",66,109,0
90,5,1591228800,"0,201","0,47","0,331",43,42,0
54,8,1586131200,"0,2468604838","0,481","0,417",19,96,0
48,9,1579910400,"0,3159791769","0,606","0,549",11,83,0
9,7,1595548800,"0,9597552626","0,323","0,789",69,71,1
18,10,1600905600,"0,6529415167","0,442","0,643",14,71,0
76,1,1578528000,"0,3521954009","0,642","0,468",76,145,0
5,1,1606780800,"0,3683119866","0,266","0,497",83,77,0
54,8,1593907200,"0,164","0,189","0,246",51,125,0
17,7,1603843200,"0,191","0,274","0,41",6,27,0
92,9,1603324800,"0,3281298149","0,669","0,427",83,134,0
79,5,1579478400,"0,067","0,173","0,319",76,137,0
18,6,1606003200,"0,3000546483","0,418","0,556",46,47,0
19,1,1588809600,"0,4192747607","0,356","0,77",47,61,1
30,9,1579305600,"0,3138854715","0,391","0,58",28,121,0
13,8,1598054400,"0,272","0,44","0,339",73,121,0
99,3,1593993600,"0,3109845664","0,448","0,437",58,57,0
36,8,1584230400,"0,205","0,251","0,276",45,72,0
93,1,1594598400,"0,25","0,279","0,383",72,82,0
69,9,1596499200,"0,6992554628","-0,339","0,786",26,60,1
18,2,1592438400,"0,168","0,363","0,302",45,70,0
85,6,1599696000,"0,3862600402","0,256","0,496",82,75,0
74,3,1600992000,"0,305","0,393","0,331",31,48,0
24,2,1581292800,"0,348","0,213","0,233",74,100,0
7,4,1598140800,"0,2503861366","0,625","0,461",32,137,0
53,2,1596499200,"0,2449378791","0,717","0,53",77,41,0
83,10,1578268800,"0,165","0,235","0,302",16,116,0
50,6,1588204800,"0,124","0,324","0,291",11,124,0
73,8,1594080000,"0,3476377332","0,511","0,432",43,47,0
85,4,1596499200,"0,3439303214","0,371","0,508",40,113,0
70,10,1595808000,"0,04057072778","-0,13","0,746",83,137,1
11,10,1579737600,"0,172","0,096","0,377",7,83,0
74,4,1602288000,"0,281","0,401","0,251",78,59,0
67,2,1587945600,"0,3045560255","0,567","0,461",8,131,0
98,4,1606262400,"0,2522919668","0,512","0,446",49,26,0
62,3,1588032000,"0,9376128735","-0,074","0,746",46,137,1
47,10,1579651200,"0,4142909983","0,485","0,466",33,44,0
21,10,1579219200,"0,6484070907","-0,177","0,725",62,130,1
91,6,1595894400,"0,167","0,412","0,315",85,86,0
57,3,1583193600,"0,241","0,34","0,265",64,65,0
61,10,1607212800,"0,204","0,326","0,318",73,128,0
71,9,1608076800,"0,192","0,266","0,294",70,42,0
56,1,1607904000,"0,276","0,379","0,31",22,35,0
9,9,1588377600,"0,2169214986","0,633","0,442",13,123,0
41,9,1586995200,"0,271","0,38","0,24",83,119,0
9,4,1605657600,"0,24","0,369","0,328",49,106,0
27,6,1583625600,"1,438925405","0,496","0,76",8,137,1
6,10,1579392000,"0,117","0,489","0,428",82,47,0
24,8,1579478400,"0,3275219461","0,52","0,49",75,115,0
36,10,1578960000,"0,231","0,371","0,277",62,112,0
15,4,1583625600,"0,297329918","0,483","0,487",80,46,0
93,10,1586476800,"0,327","0,494","0,391",6,26,0
84,8,1593993600,"0,2654358949","0,419","0,554",25,42,0
84,1,1602374400,"0,7797878671","1,02","0,634",22,149,0
42,5,1596067200,"0,149","0,197","0,362",64,71,0
37,6,1591401600,"0,2337461578","0,525","0,501",29,58,0
42,2,1606435200,"0,3583929975","0,557","0,476",13,149,0
34,5,1589846400,"0,2264051418","0,455","0,599",44,98,0
29,4,1609372800,"0,085","0,419","0,214",54,131,0
57,2,1585612800,"0,206","0,106","0,272",42,73,0
26,5,1585958400,"0,2990246337","0,538","0,546",64,127,0
1,9,1581897600,"0,296","0,204","0,346",64,97,0
15,2,1579132800,"0,3088733915","0,476","0,604",63,76,0
96,1,1608595200,"0,2564662209","0,508","0,444",50,73,0
80,7,1603584000,"0,224","0,274","0,243",38,113,0
79,6,1589500800,"0,2876600724","0,599","0,527",76,95,0
96,1,1598313600,"0,2133506146","0,827","0,795",67,73,1
50,5,1590969600,"0,9308028756","0,401","0,694",6,42,0
37,9,1578182400,"1,249025362","0,962","0,846",15,101,1
18,2,1608336000,"0,3047588588","0,644","0,514",48,111,0
76,3,1604534400,"0,2751264592","0,356","0,509",83,93,0
55,5,1585440000,"0,2146508922","0,453","0,445",84,28,0
30,1,1589414400,"0,2896116872","0,412","0,428",71,32,0
50,7,1592438400,"0,861406944","0,495","0,783",83,96,1
36,2,1584057600,"0,6212903699","1,404","0,769",68,83,1
23,6,1607472000,"0,3023064933","0,546","0,522",12,123,0
84,3,1584316800,"0,3321295757","0,532","0,47",37,108,0
90,2,1603411200,"0,116","0,378","0,253",47,149,0
78,10,1580947200,"0,3551944672","0,508","0,501",70,103,0
67,2,1591056000,"0,036","0,177","0,373",36,69,0
27,4,1578355200,"0,1964914952","0,384","0,508",30,143,0
84,7,1585180800,"0,266","0,262","0,312",40,75,0
41,9,1599609600,"0,045","0,486","0,301",12,43,0
65,10,1582070400,"0,5890530169","0,437","0,758",67,54,1
55,7,1607990400,"0,2796630277","0,563","0,528",45,78,0
74,3,1582070400,"0,3980502819","0,416","0,464",63,130,0
17,9,1602460800,"0,399","0,342","0,179",38,47,0
14,10,1604620800,"0,5291447393","0,291","0,717",57,50,1
83,8,1578355200,"0,3387344112","0,163","0,762",57,29,1
42,6,1592179200,"1,222534246","0,219","0,692",5,101,0
44,4,1593302400,"0,2516078003","0,512","0,508",62,107,0
69,2,1596585600,"0,2827984508","0,643","0,478",85,40,0
64,7,1589587200,"0,2570016455","0,555","0,57",57,86,0
68,1,1607299200,"0,2942006638","0,552","0,487",84,125,0
6,4,1585872000,"0,268","0,464","0,339",63,138,0
37,4,1601164800,"0,9331219944","0,555","0,796",37,111,1
28,5,1604620800,"0,238","0,315","0,37",76,142,0
33,3,1606780800,"0,3099931069","0,444","0,506",54,132,0
57,2,1602892800,"0,2355966077","0,457","0,507",56,65,0
90,8,1598140800,"0,4721613778","0,301","0,794",45,67,1
32,8,1580169600,"0,3519144363","0,528","0,526",79,43,0
61,9,1588809600,"0,3761149112","0,495","0,433",39,56,0
20,6,1587686400,"0,3154351515","0,568","0,564",7,78,0
93,6,1587772800,"0,72841217","1,114","0,801",80,27,1
68,8,1580860800,"0,2974006476","0,734","0,454",66,67,0
24,6,1578873600,"0,158","0,284","0,304",9,60,0
3,2,1602201600,"0,2774697466","0,429","0,553",8,128,0
65,10,1597622400,"0,315","0,272","0,394",19,45,0
9,1,1586476800,"0,3124471436","0,571","0,48",41,116,0
50,8,1589673600,"0,3109509837","0,389","0,585",54,60,0
68,3,1606348800,"0,2699537333","0,466","0,536",72,134,0
4,5,1594252800,"0,7695672421","0,179","0,709",45,113,1
63,10,1592870400,"0,178","0,259","0,273",18,109,0
48,10,1584921600,"0,564481421","0,837","0,742",50,129,1
14,6,1579910400,"0,2903489353","0,444","0,563",31,82,0
2,10,1579132800,"0,2856071539","0,672","0,53",71,115,0
39,6,1595462400,"0,3133113276","0,379","0,452",51,47,0
99,7,1607472000,"0,281","0,346","0,295",60,62,0
9,9,1579132800,"0,2814486058","0,616","0,492",42,125,0
75,10,1590710400,"0,3272776401","0,432","0,442",61,37,0
81,10,1583884800,"-0,066","0,297","0,369",30,98,0
26,9,1578441600,"0,196","0,321","0,294",6,61,0
26,5,1589846400,"0,3296267218","0,82","0,542",43,32,0
24,3,1607040000,"0,2123986858","0,444","0,458",22,82,0
29,1,1578268800,"0,098","0,336","0,368",65,97,0
52,8,1598659200,"0,3443102651","0,067","0,767",69,26,1
41,8,1609286400,"0,3829452926","0,968","0,79",61,107,1
85,6,1594425600,"0,33154718","0,466","0,489",45,43,0
49,6,1604361600,"0,302013009","0,511","0,443",32,35,0
32,4,1592006400,"0,2385606281","0,58","0,531",14,116,0
18,8,1595462400,"0,3482633511","0,75","0,623",20,148,0
65,5,1579478400,"0,121","0,449","0,282",22,137,0
38,8,1581379200,"0,143","0,405","0,271",69,64,0
18,1,1593302400,"0,205","0,079","0,265",59,121,0
8,3,1600387200,"0,1836407799","0,005","0,778",48,126,1
27,2,1609027200,"0,269","0,061","0,351",14,116,0
94,3,1606176000,"0,096","0,257","0,401",37,84,0
9,9,1580601600,"0,734662072","0,819","0,804",51,82,1
86,6,1591747200,"0,172","0,217","0,257",73,25,0
58,2,1598659200,"0,3068195739","0,222","0,744",18,135,1
40,1,1586476800,"0,2403936945","0,646","0,56",26,63,0
3,9,1590364800,"0,214","0,331","0,289",28,63,0
64,7,1582156800,"0,4788986127","0,894","0,719",47,104,1
62,2,1607817600,"0,4869078609","0,122","0,731",79,119,1
8,10,1585699200,"0,1884490978","0,347","0,718",61,149,1
41,1,1589068800,"1,025261799","0,902","0,854",18,120,1
92,1,1595721600,"0,3262940574","0,459","0,543",21,75,0
59,8,1600387200,"0,242","0,437","0,384",77,41,0
79,1,1608854400,"0,2196915321","0,465","0,551",58,74,0
11,4,1584489600,"0,5099679202","-0,064","0,718",56,89,1
12,8,1593388800,"0,3113180536","0,522","0,498",42,81,0
48,4,1581120000,"0,3929876656","0,566","0,515",72,59,0
6,9,1597190400,"0,2415732556","1,149","0,795",65,56,1
63,5,1601337600,"0,152","0,127","0,306",30,29,0
78,4,1591488000,"0,9477178147","-0,247","0,753",37,43,1
4,8,1606608000,"0,243","0,195","0,241",13,122,0
23,4,1591401600,"0,146","0,463","0,343",65,125,0
15,2,1583193600,"0,3309837651","0,45","0,53",32,111,0
18,6,1606262400,"0,206","0,268","0,314",49,46,0
22,7,1590019200,"0,193","0,285","0,356",20,30,0
65,10,1586304000,"0,5573841546","0,281","0,734",76,110,1
94,1,1595203200,"0,229","0,271","0,376",26,147,0
96,8,1599955200,"0,3198682117","0,617","0,563",58,63,0
42,2,1602806400,"0,2548152007","0,366","0,643",67,25,0
56,9,1606435200,"0,26","0,367","0,306",47,69,0
91,6,1595030400,"0,2074470744","1,257","0,651",56,73,0
77,8,1594425600,"0,364","0,12","0,319",84,142,0
66,2,1590278400,"0,082","0,111","0,283",69,48,0
67,5,1583107200,"0,2936839846","0,607","0,476",83,66,0
89,1,1601683200,"0,143","0,413","0,261",36,30,0
73,9,1589500800,"0,2729247595","0,514","0,495",69,27,0
79,8,1603843200,"0,1929159015","0,538","0,562",9,73,0
9,8,1591488000,"0,1045979606","1,016","0,739",24,123,1
15,7,1607644800,"0,3181607153","0,59","0,482",62,141,0
66,3,1584835200,"0,3252652189","0,291","0,467",65,31,0
53,2,1586476800,"0,042","0,364","0,287",62,43,0
57,2,1579046400,"0,3045779628","0,564","0,504",55,44,0
12,7,1602892800,"0,1834575545","0,6","0,603",77,73,0
34,6,1603584000,"0,277635436","0,462","0,484",38,83,0
9,1,1586822400,"0,266","0,22","0,252",69,51,0
66,1,1599350400,"0,4191341977","0,409","0,497",64,62,0
25,5,1586563200,"0,227","0,259","0,331",58,146,0
5,9,1601164800,"0,2539500083","0,73","0,567",19,56,0
57,7,1585267200,"0,3478791361","0,411","0,451",14,26,0
51,7,1581638400,"0,2914551158","0,341","0,444",50,84,0
18,6,1595894400,"0,3491016502","0,717","0,66",8,132,0
28,10,1608854400,"1,487193509","0,643","0,85",29,138,1
45,8,1590451200,"0,2964300786","0,527","0,496",44,139,0
24,8,1578873600,"0,3053960184","0,581","0,465",79,67,0
90,6,1595721600,"0,313","0,334","0,229",38,150,0
95,9,1586217600,"0,163","0,363","0,281",30,126,0
95,8,1598140800,"0,043","0,346","0,246",18,118,0
9,1,1583884800,"0,6898372013","0,874","0,874",65,26,1
45,5,1603238400,"0,247","0,295","0,333",73,120,0
90,5,1601164800,"0,3098089901","0,477","0,464",56,101,0
51,5,1577836800,"0,2729064106","0,521","0,504",35,92,0
67,3,1601510400,"-0,1688114329","0,275","0,726",16,35,1
52,2,1598054400,"0,224","0,197","0,32",44,79,0
97,4,1600646400,"-0,4335466126","0,405","0,758",33,31,1
90,5,1604102400,"0,71744648","0,488","0,774",56,31,1
89,2,1600473600,"0,2563048089","0,546","0,615",42,40,0
37,10,1579910400,"0,153","0,274","0,369",48,118,0
40,4,1595289600,"0,809804268","0,676","0,73",62,66,1
2,3,1584576000,"1,631100739","0,724","0,775",17,126,1
16,7,1605052800,"0,3753152061","0,302","0,535",77,47,0
77,9,1583712000,"0,115","0,258","0,352",34,108,0
84,2,1581379200,"1,187744577","0,828","0,728",49,108,1
40,6,1593302400,"0,269","0,245","0,242",76,145,0
33,9,1579824000,"0,2271342749","0,478","0,492",62,119,0
84,6,1585267200,"0,3689095361","0,644","0,533",39,94,0
21,10,1595462400,"0,25","0,243","0,251",47,80,0
20,1,1584921600,"1,188069344","0,411","0,7",24,45,0
50,1,1578096000,"0,3540656139","0,56","0,443",75,131,0
53,2,1594857600,"0,3969828058","0,47","0,544",72,75,0
33,7,1592870400,"0,2520749631","0,564","0,516",43,58,0
14,3,1588032000,"0,194","0,187","0,337",46,37,0
45,10,1595203200,"0,209","0,392","0,274",28,69,0
96,10,1583712000,"0,440805015","0,477","0,517",10,135,0
84,10,1585094400,"0,3328652089","0,32","0,533",39,44,0
66,2,1595116800,"0,2214693698","0,577","0,418",61,130,0
42,1,1587600000,"1,029871977","1,428","0,713",52,36,1
15,4,1592784000,"0,13","0,143","0,381",58,27,0
86,3,1607212800,"0,9438811817","0,186","0,654",44,100,0
74,4,1592265600,"0,218","0,562","0,333",40,98,0
25,8,1607558400,"0,2826849087","0,7","0,585",40,146,0
93,3,1590364800,"0,3334637264","0,25","0,75",58,84,1
2,1,1599523200,"0,358878824","0,476","0,738",41,60,1
30,1,1609200000,"0,2277341923","0,336","0,491",29,148,0
78,7,1606262400,"0,139","0,126","0,296",75,28,0
61,5,1601337600,"0,3228643961","0,617","0,493",33,134,0
12,1,1587772800,"0,3112087371","0,502","0,448",62,38,0
99,1,1591488000,"0,107","0,19","0,336",49,118,0
5,3,1598832000,"0,2941205771","0,466","0,412",20,137,0
24,4,1586476800,"0,2719416825","0,528","0,5",12,37,0
84,8,1605052800,"0,9861466114","0,099","0,802",31,82,1
47,1,1599350400,"0,1294392123","1,156","0,745",33,54,1
73,1,1605571200,"0,3601732631","0,568","0,44",10,46,0
35,7,1600732800,"0,3044352549","0,539","0,415",79,95,0
98,10,1579564800,"0,2833933723","0,493","0,55",84,130,0
81,7,1589587200,"0,832323276","0,266","0,827",13,39,1
40,10,1581120000,"0,1085231629","0,959","0,691",53,138,0
53,2,1604448000,"0,26","0,304","0,254",29,50,0
50,2,1596844800,"0,7985246032","0,68","0,667",12,135,0
61,1,1608076800,"0,5154858278","0,335","0,718",5,68,1
10,8,1589932800,"0,2809658015","0,294","0,505",63,81,0
40,3,1584576000,"0,2906287207","0,716","0,526",77,147,0
6,7,1585526400,"0,218","0,134","0,267",49,128,0
1,8,1595980800,"0,464717787","0,449","0,731",41,114,1
40,2,1597968000,"0,143","0,332","0,226",41,127,0
54,1,1591142400,"0,3019480034","0,474","0,52",49,48,0
74,6,1605571200,"0,2791420186","0,482","0,507",68,134,0
31,3,1595030400,"0,3271942964","0,437","0,574",49,110,0
79,8,1602028800,"0,154","0,323","0,309",84,58,0
25,6,1578009600,"0,093","0,398","0,356",11,55,0
21,8,1592092800,"0,185","0,153","0,277",44,83,0
21,3,1578096000,"0,2509044606","0,414","0,506",66,34,0
52,7,1578614400,"1,111971028","0,536","0,813",24,133,1
31,10,1584835200,"0,192845881","0,242","0,78",83,124,1
88,9,1587686400,"0,3801305687","0,551","0,558",80,139,0
58,2,1590796800,"0,181","0,244","0,275",59,124,0
77,3,1594166400,"0,3069861576","0,465","0,557",22,121,0
59,10,1586822400,"0,2930927793","0,536","0,459",52,33,0
46,7,1578441600,"0,3481115137","0,462","0,463",5,113,0
56,8,1591920000,"0,158","0,28","0,334",77,140,0
9,2,1583366400,"0,3165038402","0,562","0,474",48,60,0
2,1,1600905600,"0,294","0,149","0,313",46,145,0
37,8,1583712000,"0,084","0,386","0,26",34,135,0
1,3,1581638400,"0,286","0,265","0,256",58,71,0
62,5,1605312000,"0,214","0,456","0,343",37,48,0
56,4,1580947200,"0,2162273451","0,448","0,476",35,45,0
34,9,1585180800,"0,166","0,37","0,333",27,100,0
29,2,1598140800,"0,251","0,43","0,283",53,56,0
33,1,1590364800,"0,09380691838","1,542","0,728",77,145,1
1,2,1593734400,"0,311","0,275","0,225",82,37,0
14,10,1585440000,"0,192","0,27","0,395",76,110,0
12,2,1586044800,"0,304","0,412","0,306",28,49,0
49,4,1599436800,"0,2333049207","0,687","0,471",24,24,0
27,3,1607644800,"0,184","0,225","0,303",22,92,0
92,1,1607385600,"0,30056177","0,624","0,571",36,30,0
